Department,Region_Employment,Education Level,NO_Trainings_LstYear,Age,previous_year_rating,Awards,Avg_Training_Score,Is Promoted
Sales & Marketing,7,Master's & above,1,35.0,5.0,NO,49.0,NO
Operations,22,Bachelor's,1,30.0,5.0,NO,60.0,NO
Sales & Marketing,19,Bachelor's,1,34.0,3.0,NO,50.0,NO
Sales & Marketing,23,Bachelor's,2,39.0,1.0,NO,50.0,NO
Technology,26,Bachelor's,1,45.0,3.0,NO,73.0,NO
Analytics,2,Bachelor's,2,31.0,3.0,NO,85.0,NO
Operations,20,Bachelor's,1,31.0,3.0,NO,59.0,NO
Operations,34,Master's & above,1,33.0,3.0,NO,63.0,NO
Analytics,20,Bachelor's,1,28.0,4.0,NO,83.0,NO
Sales & Marketing,1,Master's & above,1,32.0,5.0,NO,54.0,NO
Technology,23,Bachelor's,1,30.0,3.0,NO,77.0,NO
Sales & Marketing,7,Bachelor's,1,35.0,5.0,NO,50.0,YES
Sales & Marketing,4,Bachelor's,1,49.0,5.0,NO,49.0,NO
Technology,29,Master's & above,2,39.0,3.0,NO,80.0,NO
R&D,2,Master's & above,1,37.0,3.0,NO,84.0,NO
Operations,7,Bachelor's,1,37.0,1.0,NO,60.0,NO
Technology,2,Bachelor's,1,38.0,3.0,NO,77.0,NO
Sales & Marketing,31,Bachelor's,1,34.0,1.0,NO,51.0,NO
Sales & Marketing,31,Bachelor's,1,34.0,5.0,NO,46.0,NO
Operations,15,Bachelor's,1,37.0,3.0,NO,59.0,NO
Procurement,14,Bachelor's,1,35.0,3.0,NO,75.0,NO
Operations,15,Bachelor's,1,41.0,4.0,NO,57.0,NO
Finance,11,Bachelor's,1,28.0,3.0,NO,63.0,NO
Procurement,5,Bachelor's,1,27.0,3.0,NO,70.0,NO
Finance,22,Master's & above,2,39.0,5.0,NO,59.0,NO
Technology,22,Bachelor's,1,27.0,5.0,NO,83.0,NO
Procurement,26,Bachelor's,1,31.0,5.0,NO,68.0,NO
Technology,26,Bachelor's,1,33.0,4.0,NO,79.0,NO
Analytics,5,Bachelor's,1,29.0,5.0,NO,80.0,NO
Sales & Marketing,4,Bachelor's,1,26.0,3.0,NO,44.0,NO
Procurement,15,Bachelor's,1,37.0,5.0,NO,72.0,NO
Finance,31,Bachelor's,2,26.0,1.0,NO,60.0,NO
Sales & Marketing,7,Bachelor's,1,24.0,1.0,NO,48.0,NO
Operations,2,Bachelor's,2,57.0,4.0,NO,58.0,NO
Analytics,22,Bachelor's,2,27.0,5.0,NO,87.0,NO
Sales & Marketing,22,Bachelor's,1,40.0,2.0,NO,47.0,NO
Technology,28,Bachelor's,1,33.0,4.0,NO,75.0,NO
Sales & Marketing,7,Bachelor's,1,40.0,5.0,NO,47.0,NO
Sales & Marketing,1,Master's & above,1,42.0,5.0,NO,51.0,NO
Sales & Marketing,28,Bachelor's,1,33.0,5.0,NO,51.0,YES
Technology,15,Bachelor's,1,34.0,3.0,NO,80.0,NO
Operations,2,Bachelor's,2,23.0,4.0,NO,57.0,NO
HR,2,Bachelor's,1,59.0,4.0,NO,52.0,NO
Sales & Marketing,2,Bachelor's,3,24.0,2.0,NO,48.0,NO
Analytics,2,Bachelor's,1,33.0,5.0,NO,88.0,NO
Procurement,17,Bachelor's,1,50.0,5.0,NO,71.0,NO
Procurement,13,Master's & above,1,37.0,4.0,NO,71.0,NO
Technology,16,Bachelor's,1,40.0,3.0,NO,80.0,NO
